name,raw_title,summary,link
Enissa Amani,Enissa Amani: Ehrenwort (2018) Full Transcript,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.",https://scrapsfromtheloft.com/2019/02/19/enissa-amani-ehrenwort-2018-full-transcript/
George Carlin,Politically Correct Language – by George Carlin,"George Carlin's critical thinking on pc language, still relevant today. ",https://scrapsfromtheloft.com/2019/02/18/politically-correct-language-george-carlin/
Ken Jeong,"Ken Jeong: You Complete Me, Ho (2019) – Full Transcript","Filmed at the Ice House Comedy Club in Pasadena, California, where Jeong first got his start in comedy, You Complete Me, Ho reflects on how Jeong went from being a doctor to a comedy superstar and opens up about how his wife's courageous battle with breast cancer led to him starring in one of the biggest comedy franchises of all time, The Hangover. ",https://scrapsfromtheloft.com/2019/02/17/ken-jeong-you-complete-me-ho-transcript/
Ray Romano,"Ray Romano: Right Here, Around the Corner (2019) – Full Transcript","Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",https://scrapsfromtheloft.com/2019/02/12/ray-romano-right-here-around-the-corner-transcript/
Gabriel Iglesias,Gabriel “Fluffy” Iglesias: One Show Fits All (2019) – Full Transcript,"In a new special from Houston, Gabriel ""Fluffy"" Iglesias riffs on his teenage son Frankie and meetings with celebrities like Snoop Dogg and Chris Rock.",https://scrapsfromtheloft.com/2019/01/30/gabriel-fluffy-iglesias-one-show-fits-all-transcript/
Sebastian Maniscalco,Sebastian Maniscalco: Stay Hungry (2019) – Full Transcript,"Sebastian's captivating storytelling keeps the audience engaged as he unpacks spin classes, pregnancy photoshoots, and wedding dances.",https://scrapsfromtheloft.com/2019/01/29/sebastian-maniscalco-stay-hungry-transcript/
John Leguizamo,Latin History for Morons: John Leguizamo’s Road to Broadway (2018) – Full Transcript,"Latin History for Morons: John Leguizamo's Road to Broadway captures John's quest to cram 3,000 years of history into 90 minutes of stage time and bring a whole new set of historical characters back to life as one man.",https://scrapsfromtheloft.com/2019/01/27/latin-history-for-morons-john-leguizamo-transcript/
Sebastian Maniscalco,Sebastian Maniscalco: Aren’t You Embarrassed? (2014) – Full Transcript,"Sebastian Maniscalco returns home to Chicago to perform in front of a live sold-out audience in this all-new comedy event. With his inimitable delivery, he burns modern-day society through the lens of his old-world Italian-American upbringing. No topic is off-limits - but perhaps we all should be just a little embarrassed.",https://scrapsfromtheloft.com/2019/01/24/sebastian-maniscalco-arent-you-embarrassed-transcript/
Sebastian Maniscalco,Sebastian Maniscalco: What’s Wrong with People? (2012) – Full Transcript,"""What's Wrong with People?"" asks Sebastian Maniscalco, as he hilariously tries to bridge the Italian-American Old World he grew up in with the contemporary frenetic world we all live in today.",https://scrapsfromtheloft.com/2019/01/24/sebastian-maniscalco-whats-wrong-with-people-transcript/
Ellen Degeneres,Ellen Degeneres: Relatable (2018) – Full Transcript,"In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt -- and hilarious -- lessons she's learned along the way.",https://scrapsfromtheloft.com/2018/12/22/ellen-degeneres-relatable-transcript/
